Key,Summary,Release Notes,Acceptance Criteria,Priority,Module,Epic
NXT-19970,Income Survey - Edit Survey Details,,"Verify that the Survey Details page displays individual sections with information corresponding to each step of the survey, each with a button to edit or add details

Verify that the validation rules for each section match the corresponding section on the Add Survey wizard

Verify that information is saved when data is either added or the user clicks the ‘Save’ button",,Eligibility,
NXT-20177,Income Survey - Pending Surveys,,"Verify that when the user selects the ‘Pending’ tab of the Income Surveys page, we only display those surveys in ‘Pending’ status.",,Eligibility,
NXT-20424,Eligibility - Dashboard - Integrate PNA Insights into existing Dashboard,,Verify PNA Insights inclusion into existing Eligibility Dashboard,,"Eligibility, Insights",
NXT-20510,Income Survey - Edit Survey Details - Process/Make Pending/Delete/Restore Survey,,"Verify that when the user goes to the Income Surveys grid, they can find additional buttons to move the Survey forward or backward in status, plus a 4th button to restore a deleted survey.

Verify button behavior for Process Survey

Verify button behavior for Mark as Pending Survey

Verify button behavior for Delete Survey

Verify button behavior for Restore Survey",,Eligibility,
NXT-20590,"Eligibility Notifications - Add Income Surveys tab, support bulk notifications",,"Verify that this tab should only display if the Show Income Surveys setting is to the ‘Yes’ or ‘Mixed’.

Verify that an ‘Income Surveys’ tab is added to the Eligibility Notifications page

Verify that the user can select a date range within the current academic year

Verify that the user can elect to include or exclude previously notified surveys

Verify that when the ‘Apply’ button is selected a grid appears, displaying all surveys based on the criteria above

Verify that the grid shows the default columns listed above, including a ‘View’ column with a selectable icon 

Verify that when selected, the ‘View’ button opens the Notification viewer for that individual survey

Verify that a user can print or email a ‘Survey Notice’ for one, more, or all surveys within the grid

Verify that when the user prints or emails out notices, the print dialog opens and/or the email goes out

Verify that the survey data (and grid, if needed) for the related survey(s) is then updated at that point",,Eligibility,
NXT-21188,Eligibility - Income Surveys - Add Income Survey Status History/Notifications History to Survey Details,,"Verify that the Survey Details page contains these two new sections

Verify that the grids in these two sections function as described above (consult Applications page for similar examples, as the behavior is basically the same)",,Eligibility,
NXT-21484,Income Surveys - Surveys grid - History (Changelog),,"Verify that the Survey page’s ‘All’ and ‘Pending Surveys’ tabs Details column includes a clickable History icon next to each survey, which redirects the user to the History page for that survey 

Verify that all changes made to a survey’s information are viewable on this page, with the columns specified above.

Verify that the page includes pagination",,Eligibility,
NXT-21561,Eligibility - Reports - Convert ‘Eligibility Summary’ report to HTML,,"Verify that we have converted this report to HTML. 

Verify that all existing options and functionality are otherwise unchanged.",,Eligibility,
NXT-21563,Eligibility - Reports - Convert ‘By Application’ report to HTML,,"Verify that we have converted this report to HTML. 

Verify that all existing options and functionality are otherwise unchanged.",,Eligibility,
NXT-21564,Eligibility - Reports - Convert ‘By Direct Certification’ report to HTML,,"Verify that we have converted this report to HTML. 

Verify that all existing options and functionality are otherwise unchanged.",,Eligibility,
NXT-22047,Eligibility-Eligibility summary numbers do not match (QA Testing required),,TBD,,Eligibility,
NXT-22845,Front Office Reports - Add Download Option + Move Report to Overlay,,"* Reports moved from embedded to overlays, per the mockup.
* Download button exports the report to PDF.
* Reset button added to each report, which when selected allows the user to reset all of their filter selections to the default.
* The above should be applicable for both the Eligibility and Accountability reports (and *also* the Verification-Collection Worksheet/Application Processing reports).
* Behavior/content of reports should be otherwise unchanged",,Eligibility,
NXT-23302,Account Management - Accounts - Integrate 'Columns & Views',,"Verify the following:

# Views, and Save As buttons are accessible
# Integration of these buttons to allow the user to save their current view (whatever is selected in the filters/columns shown in the grid) with a custom name.
# The user can select any default or custom view whenever reloading the page, with their selection then populating the filters/grid.
# Saved views should have unique names",,"Account Management, Eligibility",
NXT-23317,AcctMgt - Groups - Homerooms - Allow user to view and assign/remove tags,,"* Verify that a multi-select Tags field is added to the list of Homerooms filters, containing the active Tags for this specific district
* Verify that a Tags column is added to the list of Homerooms filters 
* Verify that this column shows a condensed view of the tags relating to each homeroom, with overflow showing as +X,X+1,X+2, etc. and the full list showing in a tooltip while hovering over it
* Verify that the Edit Homeroom functionality opens as a drawer instead of a pop-up, and that it now contains a Tags field that the user can use to assign/remove tags from the homeroom
* Verify that the other general UI/UX improvements have been made to the page:
** Expansion panel
** Reset/Apply
** Grid edit icon ‘Edit’ → ‘Edit2’
** Edit Homeroom buttons ‘Update’ and ‘Cancel' → X and 'Save’",,"Account Management, Eligibility",
NXT-23799,Front Office Reports - Eligibility - Add button to export report to Excel,,"* All Eligibility reports (or as many as possible) have a new download button that exports the report to Excel.
* Behavior/content of reports should be otherwise unchanged",,Eligibility,
NXT-25253,Family Hub - School Menus - Verify end-to-end admin menu publishing to end-user display (Phase 1),,Verify that menus published from SchoolCafé are now displaying in the School Menus page of Family Hub.,,"Eligibility, Family Hub",
